"subject","pss_data_m_overall","rfs_data_m_overall","rfs_data_m_Fat","rfs_data_m_Fruits_and_Vegetables","tfeq_data_m_overall","tfeq_data_m_Uncontrolled_Eating_Scale","tfeq_data_m_Emotional_Eating_Scale","tfeq_data_m_Cognitive_Restraint_Scale","bis_data_m_overall","bis_data_m_NonPlanning_SelfControl","bis_data_m_NonPlanning_CognitiveComplexity","bis_data_m_Attentional_Attention","bis_data_m_Motor_Perserverence","bis_data_m_Motor_Motor","bis_data_m_Attentional_CognitiveInstability"
101,2.6,1.2962962962963,0.764705882352941,2.2,1.88888888888889,2,2.33333333333333,1.5,2.4,2.83333333333333,2.8,2.4,2,2,2.33333333333333
102,3.1,0.740740740740741,0.529411764705882,1.1,2.16666666666667,1.77777777777778,3.33333333333333,2.16666666666667,2.13333333333333,2,1,3,2,2.42857142857143,2.33333333333333
103,2.3,0.555555555555556,0.294117647058824,1,2.27777777777778,2.11111111111111,2,2.66666666666667,2,1.66666666666667,2.8,1.2,2,2,2.66666666666667
104,2.1,1.03703703703704,0.705882352941177,1.6,1.44444444444444,1.44444444444444,1.66666666666667,1.33333333333333,2.4,2.33333333333333,3.2,2.4,1.75,2.57142857142857,1.66666666666667
106,2,2,1.76470588235294,2.4,2.77777777777778,2.66666666666667,2.66666666666667,3,1.86666666666667,1.5,2.8,1.6,2,1.71428571428571,1.66666666666667
107,2.5,1.2,1.2,1.2,2.27777777777778,2.55555555555556,2.66666666666667,1.66666666666667,2.3448275862069,3,1.8,2.4,2,2.57142857142857,2
108,2.6,1.85185185185185,1.52941176470588,2.4,3,3.55555555555556,4,1.66666666666667,2.33333333333333,2.33333333333333,1.8,3.4,1.5,2.28571428571429,2.66666666666667
109,0.7,1.18518518518519,0.588235294117647,2.2,2.55555555555556,2.55555555555556,2,2.83333333333333,1.8,1.5,1.4,2.2,2,1.57142857142857,2.66666666666667
110,2.6,1.42307692307692,1.29411764705882,1.66666666666667,2.77777777777778,2.44444444444444,2.66666666666667,3.33333333333333,2.46666666666667,2,2.2,2.6,1.75,3.14285714285714,3
111,1.1,1.33333333333333,1.47058823529412,1.1,1.94444444444444,1.88888888888889,2,2,1.83333333333333,1.66666666666667,2.2,1.2,1.75,2.28571428571429,1.66666666666667
112,1.7,1.33333333333333,1.11764705882353,1.7,2.05555555555556,2.11111111111111,1.66666666666667,2.16666666666667,1.7,1.33333333333333,2.2,1,1.75,2.14285714285714,1.66666666666667
114,2,1.14814814814815,0.470588235294118,2.3,2.05555555555556,2,1.33333333333333,2.5,1.75862068965517,1.5,2,1.5,2,2,1.33333333333333
116,2.66666666666667,1.2962962962963,1,1.8,2.38888888888889,2.55555555555556,3,1.83333333333333,1.83333333333333,1.83333333333333,2.2,1.8,1.25,2.14285714285714,1.33333333333333
118,1.25,1.52,1.33333333333333,1.8,1.72222222222222,1.66666666666667,1,2.16666666666667,1.26923076923077,1.16666666666667,1.4,1,1,1.66666666666667,1
119,2.2,1.55555555555556,1.11764705882353,2.3,3.11111111111111,3,3.66666666666667,3,2.56666666666667,2.66666666666667,2.8,3,1.5,2.71428571428571,2.33333333333333
120,1.9,1.25925925925926,0.941176470588235,1.8,2.61111111111111,2.66666666666667,1.66666666666667,3,2.06666666666667,2.33333333333333,2.2,2.2,1.75,1.85714285714286,2
121,3.3,1.14814814814815,1.23529411764706,1,1.72222222222222,1.66666666666667,1.66666666666667,1.83333333333333,2.03333333333333,2.33333333333333,1.6,3,1.5,1.28571428571429,3
123,1.55555555555556,1.07407407407407,0.647058823529412,1.8,2.17647058823529,1.88888888888889,2.33333333333333,2.6,1.6,1.33333333333333,2.2,1.6,1.25,1.85714285714286,1
124,2,1.85185185185185,1.94117647058824,1.7,1.61111111111111,1.88888888888889,1,1.5,1.86206896551724,1.5,2,1.8,2,1.71428571428571,3
125,1.9,1.74074074074074,1.82352941176471,1.6,2.77777777777778,3.77777777777778,2.33333333333333,1.5,2.06666666666667,1.83333333333333,1.8,2.6,1.75,2.14285714285714,2.33333333333333
126,1.55555555555556,1.14814814814815,0.235294117647059,2.7,1.33333333333333,1.44444444444444,1,1.33333333333333,1.3,1.5,1.4,1,1.25,1.28571428571429,1.33333333333333
129,2.2,1.40740740740741,1.29411764705882,1.6,2.11111111111111,2.55555555555556,1.66666666666667,1.66666666666667,1.83333333333333,1.66666666666667,1.6,1.6,1.75,2.28571428571429,2
130,2.4,1.03703703703704,0.941176470588235,1.2,2.27777777777778,2.55555555555556,3,1.5,2.06666666666667,1.83333333333333,2,2.8,1.75,1.85714285714286,2.33333333333333
131,2.5,1.18518518518519,1.05882352941176,1.4,2.05555555555556,2,1.33333333333333,2.5,1.72413793103448,2,2,1.5,1.25,1.85714285714286,1.33333333333333
